City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bellary,IN,83.88,clear sky,15.15,76.9333,Hotel Pawan
3,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
7,Victoria,HK,87.94,scattered clouds,22.2855,114.1577,Mini Hotel Central
15,Sagar,IN,82.44,clear sky,23.8333,78.7167,Hotel Devyog
17,Manaure,CO,83.57,overcast clouds,11.7751,-72.4445,Hotel Palaaima
23,Carpinteria,US,77.7,clear sky,34.3989,-119.5185,"Holiday Inn Express & Suites Carpinteria, an IHG Hotel"
28,Galle,LK,81.66,overcast clouds,6.0367,80.217,Amangalla
30,Katsuura,JP,80.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
31,Salalah,OM,80.87,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
32,Wuning,CN,88.41,scattered clouds,29.2589,120.2311,Fu Du Hotel
42,San Patricio,US,78.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
43,Moerai,PF,76.1,scattered clouds,-22.4333,-151.3333,Le Manotel
45,Takoradi,GH,75.24,light rain,4.8845,-1.7554,Raybow International Hotel
49,Butaritari,KI,82.83,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
52,Araguaina,BR,76.6,scattered clouds,-7.1911,-48.2072,Hotel São Vicente
57,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
58,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Ocos,GT,81.32,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
60,Mecca,SA,83.17,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
61,Biltine,TD,80.08,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
70,Bengkulu,ID,84.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Negombo,LK,78.85,few clouds,7.2083,79.8358,Hotel Sunset Beach
74,Ryotsu,JP,75.16,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
77,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
83,Jacksonville,US,79.99,mist,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
85,The Valley,AI,84.06,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
87,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
93,Alice,US,78.37,broken clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
95,Pandan,PH,85.87,light rain,14.0453,124.1694,Bonifacio Lodge
97,Juegang,CN,85.96,clear sky,32.3174,121.1855,Rudong Y Hotel
100,Atuona,PF,78.28,overcast clouds,-9.8,-139.0333,Villa Enata
103,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
104,Lorengau,PG,84.78,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
112,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
119,Soe,ID,89.01,overcast clouds,-9.8607,124.284,Dena Hotel
120,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
128,Souillac,MU,76.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
129,Hervey Bay,AU,86.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
144,Fare,PF,79.21,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
147,Blythe,US,82.18,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
157,Airai,TL,80.83,overcast clouds,-8.9266,125.4092,Juvinal Martin
161,Isangel,VU,75.31,light rain,-19.55,169.2667,Tanna Lodge
163,Nakamura,JP,85.5,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
165,Along,IN,84.45,scattered clouds,28.1667,94.7667,Hotel West
171,Bandarbeyla,SO,80.11,few clouds,9.4942,50.8122,JABIR HOTEL
172,Anloga,GH,77.22,moderate rain,5.7947,0.8973,Pin Drop Hotel
174,Kaiyuan,CN,77.54,few clouds,23.6977,103.3037,Dongqi Hotel
175,Gilgit,PK,75.42,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
178,Makakilo City,US,78.55,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
182,Port-Gentil,GA,77.43,overcast clouds,-0.7193,8.7815,Fengshui Residence
185,Santiago De Cuba,CU,77.52,few clouds,20.0247,-75.8219,Cubanacan San Felix
195,Santa Rosalia,MX,77.34,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
204,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
206,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
211,Riachao Das Neves,BR,80.74,broken clouds,-11.7461,-44.91,Casa Costa
215,Nara,JP,82.9,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
218,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
221,San Policarpo,PH,83.62,overcast clouds,12.1791,125.5072,Manong Aklan Resort
222,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
225,Karratha,AU,81.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
226,Tomatlan,MX,75.49,overcast clouds,19.9333,-105.25,El Salvial
228,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
229,Pio Ix,BR,81.36,overcast clouds,-6.8375,-40.5792,Hotel Central
242,Aden,YE,86.22,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
244,Tura,IN,80.64,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
251,Nieuw Amsterdam,SR,79.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
257,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
258,Faanui,PF,79.12,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
261,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
263,Kavieng,PG,85.19,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
265,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
