City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,57.09,82,75,3.44,moderate rain
1,Bellary,IN,15.15,76.9333,83.88,59,8,6.93,clear sky
2,Zaltan,LY,32.947,11.8665,68.29,75,1,1.68,clear sky
3,Touros,BR,-5.1989,-35.4608,76.1,83,7,12.66,clear sky
4,Cidreira,BR,-30.1811,-50.2056,60.21,91,29,7.63,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,35.26,80,40,17.27,light rain
6,Pincher Creek,CA,49.4833,-113.952,48.27,48,1,12.66,clear sky
7,Victoria,HK,22.2855,114.1577,87.94,79,48,1.01,scattered clouds
8,Aksu,CN,41.1231,80.2644,72.77,22,66,4.34,broken clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,9.22,overcast clouds
10,Saint George,US,37.1041,-113.5841,73.8,24,0,1.99,clear sky
11,Khudumelapye,BW,-23.8833,24.75,61.54,79,3,5.99,clear sky
12,Port Lincoln,AU,-34.7333,135.8667,61.77,74,48,19.48,scattered clouds
13,Kodiak,US,57.79,-152.4072,37.15,64,17,20.87,few clouds
14,Yulara,AU,-25.2406,130.9889,94.84,8,10,32.21,clear sky
15,Sagar,IN,23.8333,78.7167,82.44,67,0,3.58,clear sky
16,Mataura,NZ,-46.1927,168.8643,59.49,69,100,6.35,light rain
17,Manaure,CO,11.7751,-72.4445,83.57,70,98,14.16,overcast clouds
18,Nanortalik,GL,60.1432,-45.2371,38.3,60,0,9.53,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,10.36,clear sky
20,Upernavik,GL,72.7868,-56.1549,31.84,98,100,7.31,light snow
21,Busselton,AU,-33.65,115.3333,60.08,64,71,19.39,broken clouds
22,Shubarkuduk,KZ,49.1447,56.4872,44.8,56,28,5.06,scattered clouds
23,Carpinteria,US,34.3989,-119.5185,77.7,47,0,4.59,clear sky
24,Antalaha,MG,-14.9003,50.2788,71.37,86,95,7.2,light rain
25,Grand-Santi,GF,4.25,-54.3833,73.8,94,90,2.26,overcast clouds
26,Zhanaozen,KZ,43.3,52.8,47.59,43,27,14.94,scattered clouds
27,Necochea,AR,-38.5473,-58.7368,43.03,79,8,9.75,clear sky
