City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-09-30 22:18:08,-53.15,-70.9167,44.71,49,0,20.71
1,Bluff,NZ,2021-09-30 22:18:09,-46.6,168.3333,52.81,80,67,21.0
2,Nikolskoye,RU,2021-09-30 22:14:07,59.7035,30.7861,44.49,94,17,4.65
3,Geraldton,AU,2021-09-30 22:16:56,-28.7667,114.6,64.81,94,40,10.36
4,Lufilufi,WS,2021-09-30 22:18:11,-13.8745,-171.5986,91.18,77,68,23.8
5,Barrow,US,2021-09-30 22:15:02,71.2906,-156.7887,30.22,69,75,8.05
6,Carnarvon,AU,2021-09-30 22:18:13,-24.8667,113.6333,69.87,88,40,8.05
7,Qaanaaq,GL,2021-09-30 22:13:52,77.484,-69.3632,27.5,87,100,13.71
8,Hilo,US,2021-09-30 22:18:14,19.7297,-155.09,77.25,94,90,3.44
9,Vao,NC,2021-09-30 22:18:15,-22.6667,167.4833,70.61,84,66,23.11
10,Yar-Sale,RU,2021-09-30 22:18:17,66.8333,70.8333,33.84,91,90,18.66
11,Pevek,RU,2021-09-30 22:18:18,69.7008,170.3133,27.39,90,100,11.36
12,Flinders,AU,2021-09-30 22:18:19,-34.5833,150.8552,63.05,89,100,1.01
13,Lethem,GY,2021-09-30 22:18:20,3.3803,-59.7968,86.2,53,86,3.78
14,Hasaki,JP,2021-09-30 22:18:21,35.7333,140.8333,70.2,92,100,24.36
15,Albany,US,2021-09-30 22:17:05,42.6001,-73.9662,56.34,86,99,7.0
16,Yellowknife,CA,2021-09-30 22:18:02,62.456,-114.3525,51.42,88,90,3.0
17,Ribeira Grande,PT,2021-09-30 22:18:23,38.5167,-28.7,72.05,84,14,2.19
18,Jiaonan,CN,2021-09-30 22:18:24,35.8786,119.9753,66.22,81,15,7.11
19,Bredasdorp,ZA,2021-09-30 22:18:25,-34.5322,20.0403,58.32,94,61,8.05
20,Vaini,TO,2021-09-30 22:18:25,-21.2,-175.2,77.16,83,75,6.91
21,Kholodnyy,RU,2021-09-30 22:18:26,62.7167,147.95,21.7,87,100,3.18
22,Mar Del Plata,AR,2021-09-30 22:18:27,-38.0023,-57.5575,59.88,29,90,8.01
23,Bengkulu,ID,2021-09-30 22:18:28,-3.8004,102.2655,74.32,88,100,3.36
24,Nivala,FI,2021-09-30 22:18:29,63.9167,24.9667,43.68,73,100,4.97
25,Ushuaia,AR,2021-09-30 22:18:30,-54.8,-68.3,46.06,42,40,9.22
26,Itaituba,BR,2021-09-30 22:18:31,-4.2761,-55.9836,89.76,66,20,1.5
27,Torbay,CA,2021-09-30 22:18:32,47.6666,-52.7314,59.88,98,90,0.0
28,Avarua,CK,2021-09-30 22:15:16,-21.2078,-159.775,80.65,74,20,13.8
29,Avesta,SE,2021-09-30 22:18:33,60.1455,16.1679,51.13,95,97,11.41
30,Margate,GB,2021-09-30 22:18:34,51.3813,1.3862,62.31,75,100,1.99
31,Beringovskiy,RU,2021-09-30 22:18:35,63.05,179.3167,31.14,77,100,18.72
